epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.5807205160458883,0.5396754927105374,0.75,0.7627627627627628,0.9584905660377359,0.8494983277591973
2,0.5411302669180764,0.5388680537541707,0.7388888888888889,0.7381615598885793,1.0,0.8493589743589743
3,0.5199837267398835,0.546293361319436,0.7347222222222223,0.7720706260032103,0.9075471698113208,0.834345186470078
4,0.511766427424219,0.543498522705502,0.7444444444444445,0.7883333333333333,0.8924528301886793,0.8371681415929203
5,0.49882831507258946,0.5084445542759366,0.7638888888888888,0.7875399361022364,0.930188679245283,0.8529411764705882
6,0.47351684040493436,0.518527795208825,0.7430555555555556,0.7938671209540034,0.879245283018868,0.8343777976723367
7,0.46095543917682436,0.5356283300452762,0.7402777777777778,0.7921635434412265,0.8773584905660378,0.8325872873769025
8,0.43451849354637995,0.749289502037896,0.5847222222222223,0.8888888888888888,0.4981132075471698,0.6384522370012092
9,0.40399565994739534,0.6903275145424737,0.6263888888888889,0.8222222222222222,0.6283018867924528,0.7122994652406417
10,0.37597725010580485,0.5735194206237793,0.6986111111111111,0.8294736842105264,0.7433962264150943,0.7840796019900498
11,0.3434049334790972,0.6448508765962389,0.7458333333333333,0.785831960461285,0.9,0.8390501319261213
12,0.3286940155757798,0.578067688147227,0.7166666666666667,0.7900355871886121,0.8377358490566038,0.8131868131868132
13,0.31254272560278573,0.6593867156240675,0.6763888888888889,0.8049281314168378,0.7396226415094339,0.7708947885939036
14,0.27633039520846475,0.8526487112045288,0.7527777777777778,0.7699386503067485,0.9471698113207547,0.8494077834179357
15,0.27633783477875923,0.6555304341846042,0.7194444444444444,0.7981818181818182,0.8283018867924529,0.812962962962963
