epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.5605027937226825,0.5253882024023268,0.7597222222222222,0.42857142857142855,0.03508771929824561,0.06486486486486487
2,0.5134940630859799,0.7452353477478028,0.7666666666666667,0.6,0.05263157894736842,0.0967741935483871
3,0.5058723251024883,0.6451760609944661,0.6777777777777778,0.34196891191709844,0.38596491228070173,0.3626373626373626
4,0.48012772930992975,0.5297245628303952,0.7638888888888888,0.5098039215686274,0.15204678362573099,0.23423423423423423
5,0.4615513735347324,0.5448717392153211,0.7777777777777778,0.6896551724137931,0.11695906432748537,0.2
6,0.4532397124502394,0.4899334073066711,0.7805555555555556,0.8095238095238095,0.09941520467836257,0.17708333333333334
7,0.4208501189947128,0.49358485672208996,0.7777777777777778,0.7037037037037037,0.1111111111111111,0.1919191919191919
8,0.39757408532831406,0.49185187617937726,0.7888888888888889,0.6091954022988506,0.30994152046783624,0.4108527131782946
9,0.3734684896137979,0.4964996841218736,0.7777777777777778,0.5454545454545454,0.38596491228070173,0.4520547945205479
10,0.34829114245043863,0.5478817204634349,0.7625,0.5,0.4444444444444444,0.47058823529411764
11,0.31406054960356816,0.4912824643982781,0.7666666666666667,0.5135135135135135,0.3333333333333333,0.40425531914893614
12,0.31501825004816053,0.6772891925440894,0.7861111111111111,0.660377358490566,0.2046783625730994,0.3125
13,0.2970719358987278,0.660484782854716,0.7569444444444444,0.4859154929577465,0.40350877192982454,0.44089456869009586
14,0.27234096171127425,0.6489193614986207,0.7805555555555556,0.5596330275229358,0.3567251461988304,0.4357142857142857
15,0.24954624548554422,0.6009847468800015,0.7597222222222222,0.49242424242424243,0.38011695906432746,0.429042904290429
