Domain Condition,Model 1 (Baseline),Model 2 (Augmented),Model 3 (Adversarial)
In-Distribution (Sunny),0.954,0.932,0.915
Fog Shift,0.812,0.865,0.829
Night Shift,0.765,0.814,0.793
Different CARLA Town,0.847,0.881,0.856
